Team,MapName,Result,Margin,R,ACS,K,D,A,ADR,FK,FD,VS
TLN,Haven,Win,2,1.1199999999999999,214.4,17.8,15.0,7.6,142.0,3.0,1.8,EG
EG,Split,Loss,-3,0.9460000000000001,198.2,15.6,16.8,6.4,129.2,2.8,1.8,TLN
TLN,Split,Win,3,1.018,208.6,17.0,15.6,6.0,136.0,2.2,2.4,EG
NRG,Split,Loss,-10,0.702,174.2,8.8,14.2,4.2,113.2,1.8,1.4,LOUD
LOUD,Split,Win,10,1.298,236.4,14.2,9.0,6.2,155.4,1.4,1.8,NRG
NRG,Pearl,Win,2,1.0453333333333332,201.33333333333334,17.733333333333334,17.133333333333333,9.933333333333334,133.46666666666667,2.466666666666667,2.6,LOUD
LOUD,Pearl,Loss,-2,0.9733333333333333,199.66666666666666,17.266666666666666,18.333333333333332,7.466666666666667,133.86666666666667,2.533333333333333,2.466666666666667,NRG
NRG,Fracture,Loss,-2,0.9960000000000001,208.6,23.6,24.6,11.0,137.2,4.0,2.8,LOUD
DRX,Fracture,Loss,-3,0.9279999999999999,195.2,15.4,16.6,7.8,122.2,1.6,3.0,TLN
TLN,Fracture,Win,3,1.1099999999999999,208.2,16.6,15.4,6.8,141.2,3.0,1.6,DRX
DRX,Ascent,Win,7,1.226,224.6,15.0,11.6,8.2,145.6,2.0,1.8,TLN
TLN,Ascent,Loss,-7,0.82,180.6,11.4,15.0,5.6,122.2,1.8,2.0,DRX
DRX,Icebox,Win,3,1.0879999999999999,216.2,17.4,14.0,7.6,138.4,2.2,2.4,TLN
TLN,Icebox,Loss,-3,0.914,172.8,14.0,17.4,5.2,119.2,2.4,2.2,DRX
TL,Icebox,Loss,-5,0.96,211.6,15.4,15.6,5.8,135.2,2.4,1.8,TS
TS,Icebox,Win,5,1.074,210.2,15.6,15.4,9.0,138.6,1.8,2.4,TL
